product_name,product_sku,warehouse,qty_in_warehouse,shelf_location
"Economax Hoodie | Maroon",1-STK-HOD-RED-BES-MRN-M,J20,1.0000,"BOX 2"
"Economax Hoodie | Maroon",1-STK-HOD-RED-BES-MRN-S,J20,1.0000,"BOX 1"
"Economax Hoodie | Navy",1-STK-HOD-RED-BES-NVY-L,J20,1.0000,"BOX 1"
"Economax Hoodie | Navy",1-STK-HOD-RED-BES-NVY-XSB,J20,1.0000,"BOX 1"
"Economax Hoodie | Red",1-STK-HOD-RED-BES-RED-LB,J20,1.0000,"BOX 1"
"Economax Hoodie | Royal Blue",1-STK-HOD-RED-BES-RYB-S,J20,2.0000,"A 06 B 1"
"Economax Hoodie | Royal Blue",1-STK-HOD-RED-BES-RYB-XS,J20,1.0000,"A 06 B 1 "
"Economax Hoodie | Royal Blue",1-STK-HOD-RED-BES-RYB-XSB,J20,5.0000,"A 06 B 1"
"Economax Hoodie | Sky",1-STK-HOD-RED-BES-SKY-JNR,J20,1.0000,"BOX 2"
"Economax Hoodie | Sky",1-STK-HOD-RED-BES-SKY-MB,J20,1.0000,"BOX 2"
"Economax Hoodie | Sky",1-STK-HOD-RED-BES-SKY-SB,J20,1.0000,"BOX 2"
"Economax Hoodie | Sky",1-STK-HOD-RED-BES-SKY-XSB,J20,1.0000,"BOX 2"
"Economax Hoodie | Sky",1-STK-HOD-RED-BES-SKY-XSC,J20,1.0000,"BOX 2"
"Netball Top Design 3514 | Navy/Fluro Green",1-STK-NET-TOP003-NVY/FLG-10,J20,2.0000,"A 05 E 1"
"Netball Top Design 3514 | Navy/Fluro Green",1-STK-NET-TOP003-NVY/FLG-12,J20,3.0000,"A 05 E 1"
"Netball Top Design 3514 | Navy/Fluro Green",1-STK-NET-TOP003-NVY/FLG-14,J20,3.0000,"A 05 E 1"
"Netball Top Design 3514 | Navy/Fluro Green",1-STK-NET-TOP003-NVY/FLG-16,J20,1.0000,"A 05 E 1"
"Netball Top Design 3514 | Navy/Fluro Green",1-STK-NET-TOP003-NVY/FLG-8,J20,1.0000,"A 05 E 1"
"Netball Top Design 3514 | Navy/Fluro Orange",1-STK-NET-TOP003-NVY/FLO-10,J20,0.0000,
"Netball Top Design 3514 | Navy/Fluro Orange",1-STK-NET-TOP003-NVY/FLO-12,J20,0.0000,
"Netball Top Design 3514 | Navy/Fluro Orange",1-STK-NET-TOP003-NVY/FLO-14,J20,0.0000,
"Netball Top Design 3514 | Navy/Fluro Orange",1-STK-NET-TOP003-NVY/FLO-16,J20,0.0000,
